"filename", "language", "Markdown", "JSON", "Groovy", "Batch", "Java Properties", "Java", "comment", "blank", "total"
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\.SysId\sysid.json", "JSON", 0, -10, 0, 0, 0, 0, 0, -1, -11
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\.wpilib\wpilib_preferences.json", "JSON", 0, -6, 0, 0, 0, 0, 0, 0, -6
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\README.md", "Markdown", -54, 0, 0, 0, 0, 0, 0, -14, -68
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\WPILib-License.md", "Markdown", -22, 0, 0, 0, 0, 0, 0, -3, -25
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\build.gradle", "Groovy", 0, 0, -60, 0, 0, 0, -19, -21, -100
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, -5, 0, 0, -1, -6
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\gradlew.bat", "Batch", 0, 0, 0, -70, 0, 0, 0, -22, -92
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\settings.gradle", "Groovy", 0, 0, -26, 0, 0, 0, 0, -2, -28
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\src\main\java\frc\lib\math\Conversions.java", "Java", 0, 0, 0, 0, 0, -41, -54, -11, -106
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\src\main\java\frc\lib\util\COTSFalconSwerveConstants.java", "Java", 0, 0, 0, 0, 0, -75, -20, -20, -115
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\src\main\java\frc\lib\util\CTREModuleState.java", "Java", 0, 0, 0, 0, 0, -39, -13, -5, -57
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\src\main\java\frc\lib\util\SwerveModuleConstants.java", "Java", 0, 0, 0, 0, 0, -14, -7, -4, -25
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\vendordeps\Phoenix.json", "JSON", 0, -423, 0, 0, 0, 0, 0, 0, -423
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\vendordeps\REVLib.json", "JSON", 0, -73, 0, 0, 0, 0, 0, 0, -73
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\vendordeps\WPILibNewCommands.json", "JSON", 0, -37, 0, 0, 0, 0, 0, -1, -38
"Total", "-", -76, -549, -86, -70, -5, -169, -113, -105, -1173